cbID,cbType,cbCores,cbCSA (mm),cbDiameter,cbWeight (kg/m),cbArrangement
cb000,Cu/XLPE/LSZH/AWA/LSZH,1c,50,17.5,0.8,Single
cb001,Cu/XLPE/LSZH/AWA/LSZH,1c,70,20.2,0.96,Single
cb002,Cu/XLPE/LSZH/AWA/LSZH,1c,95,22.3,1.24,Single
cb003,Cu/XLPE/LSZH/AWA/LSZH,1c,120,24.2,1.51,Single
cb004,Cu/XLPE/LSZH/AWA/LSZH,1c,150,27.4,1.9,Single
cb005,Cu/XLPE/LSZH/AWA/LSZH,1c,185,30,2.32,Single
cb006,Cu/XLPE/LSZH/AWA/LSZH,1c,240,32.8,2.93,Single
cb007,Cu/XLPE/LSZH/AWA/LSZH,1c,300,35.6,3.58,Single
cb008,Cu/XLPE/LSZH/AWA/LSZH,1c,400,40.5,4.6,Single
cb009,Cu/XLPE/LSZH/AWA/LSZH,1c,500,44.2,5.77,Single
cb010,Cu/XLPE/LSZH/AWA/LSZH,1c,630,48.8,7.25,Single
cb011,Cu/XLPE/LSZH/AWA/LSZH,1c,800,55.4,9.381,Single
cb012,Cu/XLPE/LSZH/AWA/LSZH,1c,1000,60.6,11.54,Single
cb013,Cu/XLPE/LSZH/AWA/LSZH,1c,50,17.5,0.8,Quadcleat
cb014,Cu/XLPE/LSZH/AWA/LSZH,1c,70,20.2,0.96,Quadcleat
cb015,Cu/XLPE/LSZH/AWA/LSZH,1c,95,22.3,1.24,Quadcleat
cb016,Cu/XLPE/LSZH/AWA/LSZH,1c,120,24.2,1.51,Quadcleat
cb017,Cu/XLPE/LSZH/AWA/LSZH,1c,150,27.4,1.9,Quadcleat
cb018,Cu/XLPE/LSZH/AWA/LSZH,1c,185,30,2.32,Quadcleat
cb019,Cu/XLPE/LSZH/AWA/LSZH,1c,240,32.8,2.93,Quadcleat
cb020,Cu/XLPE/LSZH/AWA/LSZH,1c,300,35.6,3.58,Quadcleat
cb021,Cu/XLPE/LSZH/AWA/LSZH,1c,400,40.5,4.6,Quadcleat
cb022,Cu/XLPE/LSZH/AWA/LSZH,1c,500,44.2,5.77,Quadcleat
cb023,Cu/XLPE/LSZH/AWA/LSZH,1c,630,48.8,7.25,Quadcleat
cb024,Cu/XLPE/LSZH/AWA/LSZH,1c,800,55.4,9.381,Quadcleat
cb025,Cu/XLPE/LSZH/AWA/LSZH,1c,1000,60.6,11.54,Quadcleat
cb026,Cu/XLPE/LSZH/AWA/LSZH,1c,50,17.5,0.8,Trefoil
cb027,Cu/XLPE/LSZH/AWA/LSZH,1c,70,20.2,0.96,Trefoil
cb028,Cu/XLPE/LSZH/AWA/LSZH,1c,95,22.3,1.24,Trefoil
cb029,Cu/XLPE/LSZH/AWA/LSZH,1c,120,24.2,1.51,Trefoil
cb030,Cu/XLPE/LSZH/AWA/LSZH,1c,150,27.4,1.9,Trefoil
cb031,Cu/XLPE/LSZH/AWA/LSZH,1c,185,30,2.32,Trefoil
cb032,Cu/XLPE/LSZH/AWA/LSZH,1c,240,32.8,2.93,Trefoil
cb033,Cu/XLPE/LSZH/AWA/LSZH,1c,300,35.6,3.58,Trefoil
cb034,Cu/XLPE/LSZH/AWA/LSZH,1c,400,40.5,4.6,Trefoil
cb035,Cu/XLPE/LSZH/AWA/LSZH,1c,500,44.2,5.77,Trefoil
cb036,Cu/XLPE/LSZH/AWA/LSZH,1c,630,48.8,7.25,Trefoil
cb037,Cu/XLPE/LSZH/AWA/LSZH,1c,800,55.4,9.381,Trefoil
cb038,Cu/XLPE/LSZH/AWA/LSZH,1c,1000,60.6,11.54,Trefoil
cb039,Cu/XLPE/LSZH/SWA/LSZH,2c,1.5,12.1,0.302,Single
cb040,Cu/XLPE/LSZH/SWA/LSZH,2c,2.5,13.6,0.346,Single
cb041,Cu/XLPE/LSZH/SWA/LSZH,2c,4,14.7,0.41,Single
cb042,Cu/XLPE/LSZH/SWA/LSZH,2c,6,15.9,0.499,Single
cb043,Cu/XLPE/LSZH/SWA/LSZH,2c,10,18,0.648,Single
cb044,Cu/XLPE/LSZH/SWA/LSZH,2c,16,20.4,0.978,Single
cb045,Cu/XLPE/LSZH/SWA/LSZH,2c,25,20.4,1.29,Single
cb046,Cu/XLPE/LSZH/SWA/LSZH,2c,35,23.3,1.5,Single
cb047,Cu/XLPE/LSZH/SWA/LSZH,2c,50,25.8,1.89,Single
cb048,Cu/XLPE/LSZH/SWA/LSZH,2c,70,29,2.45,Single
cb049,Cu/XLPE/LSZH/SWA/LSZH,2c,95,33.1,3.3,Single
cb050,Cu/XLPE/LSZH/SWA/LSZH,2c,120,39.3,4.02,Single
cb051,Cu/XLPE/LSZH/SWA/LSZH,2c,150,39.3,4.75,Single
cb052,Cu/XLPE/LSZH/SWA/LSZH,3c,1.5,12.6,0.33,Single
