clID,clType,clMinDia,clMaxDia,clWidth,clHeight,clDepth,clWeight(kg)
VRT+00 (s),Single,30,42,60,93,54,0.251
VRT+01 (s),Single,38,50,63,98,54,0.258
VRT+02 (s),Single,43,58,72,106,54,0.269
VRT+03 (s),Single,49,64,79,112,54,0.279
VRT+04 (s),Single,55,70,85,118,54,0.284
VRT+05 (s),Single,58,75,96,125,54,0.319
VRT+06 (s),Single,63,84,105,133,54,0.331
VRT+07 (s),Single,73,90,112,140,54,0.391
VRT+08 (s),Single,83,100,121,149,54,0.405
VRT+09 (s),Single,86,104,126,154,54,0.411
VRT+10 (s),Single,88,110,134,162,54,0.442
VRT+11 (s),Single,90,115,143,170,54,0.453
VRT+12 (s),Single,100,125,152,177,54,0.46
VRT+13 (s),Single,107,132,161,185,54,0.524
VRT+14 (s),Single,120,145,169,192,54,0.536
VRT+15 (s),Single,125,150,176,199,54,0.542
VRT+16 (s),Single,132,153,183,205,54,0.544
VRT+17 (s),Single,136,156,190,216,54,0.618
VRT+18 (s),Single,139,159,200,225,54,0.628
VRT+19 (s),Single,142,162,200,235,54,0.637
VRT+20 (s),Single,150,170,215,240,54,0.646
VRT+00,Trefoil,19,24,60,93,54,0.251
VRT+01,Trefoil,23,28,63,98,54,0.258
VRT+02,Trefoil,27,32,72,106,54,0.269
VRT+03,Trefoil,30,35,79,112,54,0.279
VRT+04,Trefoil,33,38,85,118,54,0.284
VRT+05,Trefoil,36,42,96,125,54,0.319
VRT+06,Trefoil,40,46,105,133,54,0.331
VRT+07,Trefoil,44,50,112,140,54,0.391
VRT+08,Trefoil,48,55,121,149,54,0.405
VRT+09,Trefoil,51,58,126,154,54,0.411
VRT+10,Trefoil,55,62,134,162,54,0.442
VRT+11,Trefoil,59,66,143,170,54,0.453
VRT+12,Trefoil,63,70,152,177,54,0.46
VRT+13,Trefoil,67,74,161,185,54,0.524
VRT+14,Trefoil,71,78,169,192,54,0.536
VRT+15,Trefoil,74,82,176,199,54,0.542
VRT+16,Trefoil,77,85,183,205,54,0.544
VRT+17,Trefoil,81,89,190,216,54,0.618
VRT+18,Trefoil,85,93,200,225,54,0.628
VRT+19,Trefoil,89,97,200,235,54,0.637
VRT+20,Trefoil,93,101,215,240,54,0.646
VRQ+01,Quad,23,25,68,110,54,0.284
VRQ+02,Quad,26,27,70,113,54,0.286
VRQ+03,Quad,28,31,78,128,54,0.318
VRQ+3A,Quad,31,35,90,138,54,0.35
VRQ+04,Quad,35,42,103,148,54,0.378
VRQ+05,Quad,43,47,120,165,54,0.452
VRQ+06,Quad,48,50,121,170,54,0.467
VRQ+07,Quad,51,57,140,190,54,0.486
VRQ+08,Quad,58,63,150,200,54,0.499
VRQ+09,Quad,64,70,170,218,54,0.58
